Hour, Average fluid temperature (°C), HP Inlet fluid temperature (°C), HP Outlet fluid temperature (°C), Load on ground (W/m),  Heat pump power consumption (kWh)
1,8.58,9.04,8.12,7.484,0.257
2,8.19,8.65,7.73,7.468,0.259
3,7.98,8.44,7.52,7.459,0.26
4,7.83,8.29,7.38,7.453,0.261
5,7.73,8.19,7.27,7.448,0.261
6,7.65,8.1,7.19,7.445,0.262
7,7.58,8.04,7.12,7.442,0.262
8,7.52,7.98,7.07,7.44,0.262
9,7.48,7.93,7.02,7.438,0.263
10,7.43,7.89,6.98,7.436,0.263
11,7.4,7.85,6.94,7.435,0.263
12,7.36,7.82,6.91,7.433,0.263
13,7.33,7.79,6.88,7.432,0.263
14,7.31,7.76,6.85,7.431,0.263
15,7.28,7.74,6.83,7.43,0.264
16,7.26,7.72,6.8,7.429,0.264
17,7.24,7.69,6.78,7.428,0.264
18,7.22,7.67,6.76,7.427,0.264
19,7.2,7.66,6.74,7.426,0.264
20,7.18,7.64,6.73,7.426,0.264
21,7.17,7.62,6.71,7.425,0.264
22,7.15,7.61,6.69,7.424,0.264
23,7.13,7.59,6.68,7.424,0.264
24,7.12,7.58,6.66,7.423,0.264
25,7.11,7.56,6.65,7.422,0.264
26,7.09,7.55,6.64,7.422,0.265
27,7.08,7.54,6.62,7.421,0.265
28,7.07,7.53,6.61,7.421,0.265
29,7.06,7.51,6.6,7.42,0.265
30,7.05,7.5,6.59,7.42,0.265
31,7.04,7.49,6.58,7.419,0.265
32,7.03,7.48,6.57,7.419,0.265
33,7.02,7.47,6.56,7.418,0.265
34,7.01,7.46,6.55,7.418,0.265
35,7,7.45,6.54,7.418,0.265
36,6.99,7.44,6.53,7.417,0.265
37,6.98,7.43,6.52,7.417,0.265
38,6.97,7.43,6.51,7.417,0.265
39,6.96,7.42,6.51,7.416,0.265
40,6.95,7.41,6.5,7.416,0.265
41,6.95,7.4,6.49,7.415,0.265
42,6.94,7.39,6.48,7.415,0.265
43,6.93,7.39,6.48,7.415,0.265
44,6.92,7.38,6.47,7.415,0.265
45,6.92,7.37,6.46,7.414,0.265
46,6.91,7.37,6.45,7.414,0.266
47,6.9,7.36,6.45,7.414,0.266
48,6.9,7.35,6.44,7.413,0.266
49,6.89,7.35,6.43,7.413,0.266
50,6.88,7.34,6.43,7.413,0.266
51,6.88,7.33,6.42,7.413,0.266
52,6.87,7.33,6.42,7.412,0.266
53,6.87,7.32,6.41,7.412,0.266
54,6.86,7.32,6.4,7.412,0.266
55,6.85,7.31,6.4,7.412,0.266
56,6.85,7.3,6.39,7.411,0.266
57,6.84,7.3,6.39,7.411,0.266
58,6.84,7.29,6.38,7.411,0.266
59,6.83,7.29,6.38,7.411,0.266
60,6.83,7.28,6.37,7.41,0.266
61,6.82,7.28,6.37,7.41,0.266
62,6.82,7.27,6.36,7.41,0.266
63,6.81,7.27,6.36,7.41,0.266
64,6.81,7.26,6.35,7.409,0.266
65,6.8,7.26,6.34,7.409,0.266
66,6.79,7.25,6.34,7.409,0.266
67,6.79,7.24,6.33,7.409,0.266
68,6.78,7.24,6.33,7.408,0.266
69,6.78,7.23,6.32,7.408,0.266
70,6.77,7.23,6.31,7.408,0.266
71,6.76,7.22,6.31,7.408,0.266
72,6.76,7.21,6.3,7.407,0.266
73,6.75,7.21,6.3,7.407,0.266
74,6.75,7.2,6.29,7.407,0.266
75,6.74,7.2,6.29,7.407,0.266
76,6.74,7.19,6.28,7.406,0.266
77,6.73,7.19,6.28,7.406,0.266
78,6.73,7.18,6.27,7.406,0.266
79,6.72,7.18,6.27,7.406,0.267
80,6.72,7.17,6.26,7.406,0.267
81,6.71,7.17,6.26,7.405,0.267
82,6.71,7.16,6.25,7.405,0.267
83,6.7,7.16,6.25,7.405,0.267
84,6.7,7.15,6.24,7.405,0.267
85,6.69,7.15,6.24,7.404,0.267
86,6.69,7.14,6.23,7.404,0.267
87,6.68,7.14,6.23,7.404,0.267
88,6.68,7.13,6.22,7.404,0.267
89,6.67,7.13,6.22,7.404,0.267
90,6.67,7.12,6.21,7.403,0.267
91,6.66,7.12,6.21,7.403,0.267
92,6.66,7.11,6.2,7.403,0.267
93,6.66,7.11,6.2,7.403,0.267
94,6.65,7.11,6.2,7.403,0.267
95,6.65,7.1,6.19,7.402,0.267
96,6.64,7.1,6.19,7.402,0.267
97,6.64,7.09,6.18,7.402,0.267
98,6.63,7.09,6.18,7.402,0.267
99,6.63,7.09,6.18,7.402,0.267
100,6.63,7.08,6.17,7.402,0.267
101,6.62,7.08,6.17,7.401,0.267
102,6.62,7.07,6.16,7.401,0.267
103,6.61,7.07,6.16,7.401,0.267
104,6.61,7.07,6.16,7.401,0.267
105,6.61,7.06,6.15,7.401,0.267
106,6.6,7.06,6.15,7.401,0.267
107,6.6,7.05,6.14,7.4,0.267
108,6.6,7.05,6.14,7.4,0.267
109,6.59,7.05,6.14,7.4,0.267
110,6.59,7.04,6.13,7.4,0.267
111,6.58,7.04,6.13,7.4,0.267
112,6.58,7.04,6.13,7.4,0.267
113,6.58,7.03,6.12,7.399,0.267
114,6.57,7.03,6.12,7.399,0.267
115,6.57,7.02,6.11,7.399,0.267
116,6.57,7.02,6.11,7.399,0.267
117,6.56,7.02,6.11,7.399,0.267
118,6.56,7.01,6.1,7.399,0.267
119,6.56,7.01,6.1,7.399,0.267
120,6.55,7.01,6.1,7.398,0.267
121,6.55,7,6.09,7.398,0.267
122,6.55,7,6.09,7.398,0.267
123,6.54,7,6.09,7.398,0.267
124,6.54,6.99,6.08,7.398,0.267
125,6.54,6.99,6.08,7.398,0.268
126,6.53,6.99,6.08,7.398,0.268
127,6.53,6.99,6.08,7.397,0.268
128,6.53,6.98,6.07,7.397,0.268
129,6.53,6.98,6.07,7.397,0.268
130,6.52,6.98,6.07,7.397,0.268
131,6.52,6.98,6.07,7.397,0.268
132,6.52,6.97,6.06,7.397,0.268
133,6.52,6.97,6.06,7.397,0.268
134,6.52,6.97,6.06,7.397,0.268
135,6.51,6.97,6.06,7.397,0.268
136,6.51,6.97,6.06,7.397,0.268
137,6.51,6.96,6.05,7.396,0.268
138,6.51,6.96,6.05,7.396,0.268
139,6.5,6.96,6.05,7.396,0.268
140,6.5,6.96,6.05,7.396,0.268
141,6.5,6.96,6.05,7.396,0.268
142,6.5,6.95,6.04,7.396,0.268
143,6.5,6.95,6.04,7.396,0.268
144,6.49,6.95,6.04,7.396,0.268
145,6.49,6.95,6.04,7.396,0.268
146,6.49,6.95,6.04,7.396,0.268
147,6.49,6.94,6.03,7.396,0.268
148,6.49,6.94,6.03,7.396,0.268
149,6.49,6.94,6.03,7.395,0.268
150,6.48,6.94,6.03,7.395,0.268
151,6.48,6.94,6.03,7.395,0.268
152,6.48,6.93,6.02,7.395,0.268
153,6.48,6.93,6.02,7.395,0.268
154,6.48,6.93,6.02,7.395,0.268
155,6.47,6.93,6.02,7.395,0.268
156,6.47,6.93,6.02,7.395,0.268
157,6.47,6.92,6.02,7.395,0.268
158,6.47,6.92,6.01,7.395,0.268
159,6.47,6.92,6.01,7.395,0.268
160,6.46,6.92,6.01,7.395,0.268
161,6.46,6.92,6.01,7.394,0.268
162,6.46,6.92,6.01,7.394,0.268
163,6.46,6.91,6,7.394,0.268
164,6.46,6.91,6,7.394,0.268
165,6.46,6.91,6,7.394,0.268
166,6.45,6.91,6,7.394,0.268
167,6.45,6.91,6,7.394,0.268
168,6.45,6.91,6,7.394,0.268
169,6.45,6.9,5.99,7.394,0.268
170,6.45,6.9,5.99,7.394,0.268
171,6.45,6.9,5.99,7.394,0.268
172,6.44,6.9,5.99,7.394,0.268
173,6.44,6.9,5.99,7.394,0.268
174,6.44,6.9,5.99,7.393,0.268
175,6.44,6.89,5.98,7.393,0.268
