n,g_data[n],q_lntts[n],q_time[n]
1,-0.633434,-12.6399,3600
2,0.0076023,-11.9468,7200
3,0.363084,-11.5413,10800
4,0.599009,-11.2536,14400
5,0.771019,-11.0305,18000
6,0.905246,-10.8482,21600
7,1.01417,-10.694,25200
8,1.10523,-10.5605,28800
9,1.18322,-10.4427,32400
10,1.25138,-10.3374,36000
11,1.31198,-10.242,39600
12,1.36646,-10.155,43200
13,1.41553,-10.075,46800
14,1.46073,-10.0009,50400
15,1.50199,-9.93189,54000
16,1.54054,-9.86735,57600
17,1.57608,-9.80672,61200
18,1.60959,-9.74957,64800
19,1.64089,-9.6955,68400
20,1.67044,-9.6442,72000
21,1.69852,-9.59541,75600
22,1.72489,-9.54889,79200
23,1.75009,-9.50444,82800
24,1.77422,-9.46188,86400
25,1.79705,-9.42106,90000
26,1.81897,-9.38184,93600
27,1.84006,-9.3441,97200
28,1.86028,-9.30773,100800
29,1.87965,-9.27264,104400
30,1.89836,-9.23874,108000
31,1.91645,-9.20595,111600
32,1.9339,-9.1742,115200
33,1.9507,-9.14343,118800
34,1.96699,-9.11358,122400
35,1.98281,-9.08459,126000
36,1.99818,-9.05642,129600
37,2.01303,-9.02902,133200
38,2.02744,-9.00235,136800
39,2.04147,-8.97638,140400
40,2.05515,-8.95106,144000
41,2.0685,-8.92637,147600
42,2.08147,-8.90227,151200
43,2.09408,-8.87874,154800
44,2.10639,-8.85575,158400
45,2.11842,-8.83327,162000
46,2.1302,-8.8113,165600
47,2.14171,-8.78979,169200
48,2.15297,-8.76874,172800
49,2.16392,-8.74812,176400
50,2.17466,-8.72791,180000
51,2.18518,-8.70811,183600
52,2.1955,-8.68869,187200
53,2.20562,-8.66965,190800
54,2.21555,-8.65095,194400
55,2.22529,-8.6326,198000
56,2.2348,-8.61459,201600
57,2.24414,-8.59689,205200
58,2.25332,-8.57949,208800
59,2.26234,-8.5624,212400
60,2.27121,-8.54559,216000
61,2.27993,-8.52906,219600
62,2.28851,-8.5128,223200
63,2.29588,-8.4968,226800
64,2.29889,-8.48105,230400
65,2.30186,-8.46555,234000
66,2.30479,-8.45028,237600
67,2.30767,-8.43524,241200
68,2.3105,-8.42043,244800
69,2.3133,-8.40583,248400
70,2.31605,-8.39144,252000
71,2.31877,-8.37726,255600
72,2.32145,-8.36327,259200
73,2.32409,-8.34948,262800
74,2.32669,-8.33587,266400
75,2.32926,-8.32245,270000
76,2.3318,-8.3092,273600
77,2.3343,-8.29613,277200
78,2.33677,-8.28323,280800
79,2.33921,-8.27049,284400
80,2.34162,-8.25791,288000
81,2.344,-8.24549,291600
82,2.34635,-8.23322,295200
83,2.34867,-8.2211,298800
84,2.35097,-8.20912,302400
85,2.35323,-8.19729,306000
86,2.35547,-8.18559,309600
87,2.35768,-8.17403,313200
88,2.35987,-8.1626,316800
89,2.36204,-8.1513,320400
90,2.36418,-8.14013,324000
91,2.36629,-8.12908,327600
92,2.36839,-8.11815,331200
93,2.37046,-8.10734,334800
94,2.3725,-8.09664,338400
95,2.37453,-8.08606,342000
96,2.37653,-8.07559,345600
97,2.37852,-8.06523,349200
98,2.38048,-8.05497,352800
99,2.38243,-8.04482,356400
100,2.38435,-8.03477,360000
101,2.38626,-8.02482,363600
102,2.38814,-8.01496,367200
103,2.39001,-8.00521,370800
104,2.39186,-7.99555,374400
105,2.39369,-7.98598,378000
106,2.39551,-7.9765,381600
107,2.39731,-7.96711,385200
108,2.39909,-7.95781,388800
109,2.40085,-7.94859,392400
110,2.4026,-7.93946,396000
111,2.40434,-7.93041,399600
112,2.40605,-7.92144,403200
113,2.40776,-7.91255,406800
114,2.40944,-7.90374,410400
115,2.41111,-7.89501,414000
116,2.41277,-7.88635,417600
117,2.41442,-7.87776,421200
118,2.41605,-7.86925,424800
119,2.41766,-7.86081,428400
120,2.41926,-7.85245,432000
121,2.42085,-7.84415,435600
122,2.42243,-7.83592,439200
123,2.42399,-7.82775,442800
124,2.42554,-7.81966,446400
125,2.42708,-7.81162,450000
126,2.42861,-7.80366,453600
127,2.43177,-7.79575,457200
128,2.43631,-7.78791,460800
129,2.44081,-7.78012,464400
130,2.44529,-7.7724,468000
131,2.44972,-7.76474,471600
132,2.45413,-7.75714,475200
133,2.4585,-7.74959,478800
134,2.46283,-7.7421,482400
135,2.46714,-7.73466,486000
136,2.47141,-7.72728,489600
137,2.47565,-7.71996,493200
138,2.47986,-7.71268,496800
139,2.48404,-7.70546,500400
140,2.48819,-7.69829,504000
141,2.49232,-7.69118,507600
142,2.49641,-7.68411,511200
143,2.50047,-7.67709,514800
144,2.50451,-7.67012,518400
145,2.50851,-7.6632,522000
146,2.51249,-7.65633,525600
147,2.51644,-7.6495,529200
148,2.52037,-7.64272,532800
149,2.52427,-7.63599,536400
150,2.52814,-7.6293,540000
151,2.53199,-7.62266,543600
152,2.53581,-7.61606,547200
153,2.53961,-7.6095,550800
154,2.54338,-7.60298,554400
155,2.54713,-7.59651,558000
156,2.55085,-7.59008,561600
157,2.55455,-7.58369,565200
158,2.55823,-7.57734,568800
159,2.56188,-7.57103,572400
160,2.56551,-7.56476,576000
161,2.56912,-7.55853,579600
162,2.5727,-7.55234,583200
163,2.57626,-7.54619,586800
164,2.57981,-7.54007,590400
165,2.58333,-7.53399,594000
166,2.58682,-7.52795,597600
167,2.5903,-7.52194,601200
168,2.59376,-7.51597,604800
169,2.59719,-7.51004,608400
170,2.60061,-7.50414,612000
171,2.60401,-7.49827,615600
172,2.60738,-7.49244,619200
173,2.61074,-7.48665,622800
174,2.61408,-7.48088,626400
175,2.61739,-7.47515,630000
176,2.62069,-7.46945,633600
177,2.62397,-7.46379,637200
178,2.62724,-7.45815,640800
179,2.63048,-7.45255,644400
180,2.63371,-7.44698,648000
181,2.63691,-7.44144,651600
182,2.6401,-7.43593,655200
183,2.64328,-7.43045,658800
184,2.64643,-7.425,662400
185,2.64957,-7.41958,666000
186,2.65269,-7.41419,669600
187,2.6558,-7.40883,673200
188,2.65888,-7.4035,676800
189,2.66195,-7.39819,680400
190,2.66501,-7.39291,684000
191,2.66805,-7.38766,687600
192,2.67107,-7.38244,691200
193,2.67408,-7.37725,694800
194,2.67707,-7.37208,698400
195,2.68005,-7.36694,702000
196,2.68301,-7.36182,705600
197,2.68596,-7.35673,709200
198,2.68889,-7.35167,712800
199,2.69181,-7.34663,716400
200,2.69471,-7.34162,720000
201,2.6976,-7.33663,723600
202,2.70047,-7.33167,727200
203,2.70333,-7.32673,730800
204,2.70617,-7.32182,734400
205,2.70901,-7.31693,738000
206,2.71182,-7.31206,741600
207,2.71463,-7.30722,745200
208,2.71742,-7.3024,748800
209,2.72019,-7.2976,752400
210,2.72296,-7.29283,756000
211,2.72571,-7.28808,759600
212,2.72845,-7.28335,763200
213,2.73117,-7.27865,766800
214,2.73388,-7.27396,770400
215,2.73658,-7.2693,774000
216,2.73927,-7.26466,777600
217,2.74194,-7.26004,781200
218,2.74461,-7.25544,784800
219,2.74726,-7.25087,788400
220,2.74989,-7.24631,792000
221,2.75252,-7.24177,795600
222,2.75513,-7.23726,799200
223,2.75774,-7.23277,802800
224,2.76033,-7.22829,806400
225,2.76291,-7.22384,810000
226,2.76547,-7.2194,813600
227,2.76803,-7.21499,817200
228,2.77057,-7.21059,820800
229,2.77311,-7.20622,824400
230,2.77563,-7.20186,828000
231,2.77776,-7.19752,831600
232,2.77959,-7.1932,835200
233,2.78141,-7.1889,838800
234,2.78323,-7.18462,842400
235,2.78504,-7.18035,846000
236,2.78684,-7.17611,849600
237,2.78863,-7.17188,853200
238,2.79042,-7.16767,856800
239,2.7922,-7.16347,860400
240,2.79397,-7.1593,864000
241,2.79573,-7.15514,867600
242,2.79749,-7.151,871200
243,2.79923,-7.14688,874800
244,2.80098,-7.14277,878400
245,2.80271,-7.13868,882000
246,2.80444,-7.13461,885600
247,2.80616,-7.13055,889200
248,2.80787,-7.12651,892800
249,2.80958,-7.12248,896400
250,2.81128,-7.11848,900000
251,2.81297,-7.11448,903600
252,2.81466,-7.11051,907200
253,2.81633,-7.10655,910800
254,2.81801,-7.1026,914400
255,2.81967,-7.09867,918000
256,2.82133,-7.09476,921600
257,2.82299,-7.09086,925200
258,2.82463,-7.08698,928800
259,2.82627,-7.08311,932400
260,2.82791,-7.07926,936000
261,2.82954,-7.07542,939600
262,2.83116,-7.07159,943200
263,2.83277,-7.06778,946800
264,2.83438,-7.06399,950400
265,2.83599,-7.06021,954000
266,2.83758,-7.05644,957600
267,2.83917,-7.05269,961200
268,2.84076,-7.04895,964800
269,2.84234,-7.04523,968400
270,2.84391,-7.04152,972000
271,2.84548,-7.03782,975600
272,2.84704,-7.03414,979200
273,2.8486,-7.03047,982800
274,2.85015,-7.02681,986400
275,2.85169,-7.02317,990000
276,2.85323,-7.01954,993600
277,2.85477,-7.01592,997200
278,2.85629,-7.01232,1000800
279,2.85782,-7.00873,1004400
280,2.85933,-7.00515,1008000
281,2.86084,-7.00158,1011600
282,2.86235,-6.99803,1015200
283,2.86385,-6.99449,1018800
284,2.86535,-6.99096,1022400
285,2.86684,-6.98745,1026000
286,2.86832,-6.98395,1029600
287,2.8698,-6.98046,1033200
288,2.87128,-6.97698,1036800
289,2.87275,-6.97351,1040400
290,2.87421,-6.97006,1044000
291,2.87567,-6.96661,1047600
292,2.87713,-6.96318,1051200
293,2.87858,-6.95976,1054800
294,2.88002,-6.95636,1058400
295,2.88146,-6.95296,1062000
296,2.8829,-6.94958,1065600
297,2.88433,-6.94621,1069200
298,2.88575,-6.94284,1072800
299,2.88717,-6.93949,1076400
300,2.88859,-6.93615,1080000
301,2.89,-6.93283,1083600
302,2.89141,-6.92951,1087200
303,2.89281,-6.9262,1090800
304,2.89421,-6.92291,1094400
305,2.8956,-6.91963,1098000
306,2.89699,-6.91635,1101600
307,2.89837,-6.91309,1105200
308,2.89975,-6.90984,1108800
309,2.90112,-6.9066,1112400
310,2.90249,-6.90336,1116000
311,2.90386,-6.90014,1119600
312,2.90522,-6.89693,1123200
313,2.90658,-6.89373,1126800
314,2.90793,-6.89054,1130400
315,2.90928,-6.88736,1134000
316,2.91062,-6.8842,1137600
317,2.91196,-6.88104,1141200
318,2.9133,-6.87789,1144800
319,2.91463,-6.87475,1148400
320,2.91596,-6.87162,1152000
321,2.91728,-6.8685,1155600
322,2.9186,-6.86539,1159200
323,2.91991,-6.86228,1162800
324,2.92122,-6.85919,1166400
325,2.92253,-6.85611,1170000
326,2.92383,-6.85304,1173600
327,2.92513,-6.84998,1177200
328,2.92643,-6.84692,1180800
329,2.92772,-6.84388,1184400
330,2.92901,-6.84084,1188000
331,2.93029,-6.83782,1191600
332,2.93157,-6.8348,1195200
333,2.93284,-6.83179,1198800
334,2.93411,-6.8288,1202400
335,2.93538,-6.82581,1206000
336,2.93665,-6.82283,1209600
337,2.93791,-6.81985,1213200
338,2.93916,-6.81689,1216800
339,2.94042,-6.81394,1220400
340,2.94166,-6.81099,1224000
341,2.94291,-6.80805,1227600
342,2.94415,-6.80513,1231200
343,2.94539,-6.80221,1234800
344,2.94662,-6.7993,1238400
345,2.94785,-6.79639,1242000
346,2.94908,-6.7935,1245600
347,2.95031,-6.79061,1249200
348,2.95153,-6.78773,1252800
349,2.95274,-6.78487,1256400
350,2.95396,-6.782,1260000
351,2.95517,-6.77915,1263600
352,2.95637,-6.77631,1267200
353,2.95758,-6.77347,1270800
354,2.95877,-6.77064,1274400
355,2.95997,-6.76782,1278000
356,2.96116,-6.76501,1281600
357,2.96235,-6.7622,1285200
358,2.96354,-6.7594,1288800
359,2.96472,-6.75661,1292400
360,2.9659,-6.75383,1296000
361,2.96708,-6.75106,1299600
362,2.96825,-6.74829,1303200
363,2.96942,-6.74553,1306800
364,2.97059,-6.74278,1310400
365,2.97175,-6.74004,1314000
366,2.97291,-6.7373,1317600
367,2.97407,-6.73458,1321200
368,2.97522,-6.73185,1324800
369,2.97637,-6.72914,1328400
370,2.97752,-6.72643,1332000
371,2.97866,-6.72374,1335600
372,2.97981,-6.72104,1339200
373,2.98094,-6.71836,1342800
374,2.98208,-6.71568,1346400
375,2.98321,-6.71301,1350000
376,2.98434,-6.71035,1353600
377,2.98547,-6.70769,1357200
378,2.98659,-6.70504,1360800
379,2.98771,-6.7024,1364400
380,2.98883,-6.69977,1368000
381,2.98994,-6.69714,1371600
382,2.99105,-6.69452,1375200
383,2.99216,-6.6919,1378800
384,2.99327,-6.68929,1382400
385,2.99437,-6.68669,1386000
386,2.99547,-6.6841,1389600
387,2.99657,-6.68151,1393200
388,2.99766,-6.67893,1396800
389,2.99876,-6.67636,1400400
390,2.99984,-6.67379,1404000
391,3.00093,-6.67123,1407600
392,3.00201,-6.66868,1411200
393,3.00309,-6.66613,1414800
394,3.00417,-6.66359,1418400
395,3.00525,-6.66105,1422000
396,3.00632,-6.65852,1425600
397,3.00739,-6.656,1429200
398,3.00845,-6.65349,1432800
399,3.00952,-6.65098,1436400
400,3.01058,-6.64847,1440000
401,3.01164,-6.64598,1443600
402,3.01269,-6.64349,1447200
403,3.01375,-6.641,1450800
404,3.0148,-6.63852,1454400
405,3.01585,-6.63605,1458000
406,3.01689,-6.63358,1461600
407,3.01794,-6.63112,1465200
408,3.01898,-6.62867,1468800
409,3.02001,-6.62622,1472400
410,3.02105,-6.62378,1476000
411,3.02208,-6.62134,1479600
412,3.02311,-6.61891,1483200
413,3.02414,-6.61649,1486800
414,3.02517,-6.61407,1490400
415,3.02619,-6.61166,1494000
416,3.02721,-6.60925,1497600
417,3.02823,-6.60685,1501200
418,3.02924,-6.60446,1504800
419,3.03026,-6.60207,1508400
420,3.03127,-6.59968,1512000
421,3.03228,-6.5973,1515600
422,3.03328,-6.59493,1519200
423,3.03429,-6.59257,1522800
424,3.03529,-6.5902,1526400
425,3.03629,-6.58785,1530000
426,3.03728,-6.5855,1533600
427,3.03828,-6.58315,1537200
428,3.03927,-6.58081,1540800
429,3.04026,-6.57848,1544400
430,3.04125,-6.57615,1548000
431,3.04223,-6.57383,1551600
432,3.04321,-6.57151,1555200
433,3.0442,-6.5692,1558800
434,3.04517,-6.56689,1562400
435,3.04615,-6.56459,1566000
436,3.04712,-6.56229,1569600
437,3.04809,-6.56,1573200
438,3.04906,-6.55772,1576800
439,3.05003,-6.55544,1580400
440,3.051,-6.55316,1584000
441,3.05196,-6.55089,1587600
442,3.05292,-6.54863,1591200
443,3.05388,-6.54637,1594800
444,3.05483,-6.54411,1598400
445,3.05579,-6.54186,1602000
446,3.05674,-6.53962,1605600
447,3.05769,-6.53738,1609200
448,3.05864,-6.53514,1612800
449,3.05958,-6.53291,1616400
450,3.06052,-6.53069,1620000
451,3.06147,-6.52847,1623600
452,3.06241,-6.52626,1627200
453,3.06334,-6.52405,1630800
454,3.06428,-6.52184,1634400
455,3.06521,-6.51964,1638000
456,3.06614,-6.51744,1641600
457,3.06707,-6.51525,1645200
458,3.068,-6.51307,1648800
459,3.06892,-6.51089,1652400
460,3.06985,-6.50871,1656000
461,3.07077,-6.50654,1659600
462,3.07168,-6.50437,1663200
463,3.0726,-6.50221,1666800
464,3.07352,-6.50005,1670400
465,3.07474,-6.4979,1674000
466,3.07598,-6.49575,1677600
467,3.07721,-6.49361,1681200
468,3.07844,-6.49147,1684800
469,3.07966,-6.48933,1688400
470,3.08089,-6.4872,1692000
471,3.08211,-6.48508,1695600
472,3.08332,-6.48296,1699200
473,3.08454,-6.48084,1702800
474,3.08575,-6.47873,1706400
475,3.08696,-6.47662,1710000
476,3.08817,-6.47452,1713600
477,3.08938,-6.47242,1717200
478,3.09058,-6.47033,1720800
479,3.09178,-6.46824,1724400
480,3.09298,-6.46615,1728000
481,3.09417,-6.46407,1731600
482,3.09536,-6.46199,1735200
483,3.09655,-6.45992,1738800
484,3.09774,-6.45785,1742400
485,3.09893,-6.45579,1746000
486,3.10011,-6.45373,1749600
487,3.10129,-6.45167,1753200
488,3.10247,-6.44962,1756800
489,3.10364,-6.44757,1760400
490,3.10482,-6.44553,1764000
491,3.10599,-6.44349,1767600
492,3.10716,-6.44146,1771200
493,3.10832,-6.43943,1774800
494,3.10949,-6.4374,1778400
495,3.11065,-6.43538,1782000
496,3.11181,-6.43336,1785600
497,3.11296,-6.43135,1789200
498,3.11412,-6.42934,1792800
499,3.11527,-6.42733,1796400
500,3.11642,-6.42533,1800000
501,3.11757,-6.42333,1803600
502,3.11871,-6.42134,1807200
503,3.11985,-6.41935,1810800
