n,GHE Load,ghe_Tin/HP_Tout,ghe_Tout/HP_Tin,bldgload
0,-42.2084,-0.839832,4.18498,1000
1,-21.7016,3.31962,5.90314,1000
2,-13.0659,5.02823,6.58369,1000
3,-9.87186,5.70514,6.88036,1000
4,-8.80318,6.00025,7.04825,1000
5,-8.40872,6.16727,7.16831,1000
6,-8.18697,6.2867,7.26134,1000
7,-8.0067,6.37925,7.33243,1000
8,-7.85091,6.44998,7.38461,1000
9,-7.72349,6.50189,7.42136,1000
10,-7.62527,6.53845,7.44622,1000
11,-7.55346,6.56319,7.46241,1000
12,-7.50547,6.57929,7.4728,1000
13,-7.46789,6.58963,7.47866,1000
14,-7.44283,6.59546,7.48151,1000
15,-7.42109,6.5983,7.48176,1000
16,-7.40716,6.59854,7.48035,1000
17,-7.39426,6.59714,7.47741,1000
18,-7.38552,6.59421,7.47344,1000
19,-7.37854,6.59027,7.46866,1000
20,-7.3719,6.58552,7.46312,1000
21,-7.36909,6.58,7.45727,1000
22,-7.36606,6.57418,7.45109,1000
23,-7.36264,6.56803,7.44454,1000
24,-7.36188,6.56151,7.43793,1000
25,-7.36092,6.55493,7.43123,1000
26,-7.35943,6.54828,7.4244,1000
27,-7.3587,6.54148,7.41751,1000
28,-7.35905,6.53462,7.4107,1000
29,-7.35897,6.52785,7.40392,1000
30,-7.35849,6.5211,7.39711,1000
31,-7.35851,6.51433,7.39034,1000
32,-7.35939,6.50759,7.38371,1000
33,-7.35987,6.50099,7.37717,1000
34,-7.35992,6.49449,7.37067,1000
35,-7.35985,6.48802,7.36419,1000
36,-7.36063,6.48158,7.35785,1000
37,-7.36156,6.47526,7.35164,1000
38,-7.36206,6.46909,7.34553,1000
39,-7.36228,6.46301,7.33947,1000
40,-7.36242,6.45698,7.33346,1000
41,-7.36294,6.451,7.32754,1000
42,-7.36392,6.44512,7.32178,1000
43,-7.36461,6.43938,7.31612,1000
44,-7.36498,6.43375,7.31054,1000
45,-7.3652,6.4282,7.30501,1000
46,-7.36543,6.4227,7.29953,1000
47,-7.36588,6.41725,7.29414,1000
48,-7.36677,6.41189,7.28888,1000
49,-7.36744,6.40666,7.28373,1000
50,-7.36782,6.40153,7.27865,1000
51,-7.36805,6.39648,7.27363,1000
52,-7.36826,6.39148,7.26865,1000
53,-7.36852,6.38653,7.26374,1000
54,-7.36893,6.38164,7.25889,1000
55,-7.36968,6.37682,7.25416,1000
56,-7.37024,6.37211,7.24952,1000
57,-7.37057,6.3675,7.24495,1000
58,-7.37078,6.36295,7.24042,1000
59,-7.37096,6.35844,7.23594,1000
60,-7.37117,6.35398,7.2315,1000
61,-7.37142,6.34957,7.22712,1000
62,-7.37906,6.34521,7.22367,1000
63,-7.413,6.34178,7.22428,1000
64,-7.43204,6.34239,7.22715,1000
65,-7.43253,6.34525,7.23007,1000
66,-7.42325,6.34815,7.23187,1000
67,-7.41255,6.34993,7.23238,1000
68,-7.40461,6.35044,7.23195,1000
69,-7.40018,6.35001,7.23099,1000
70,-7.39834,6.34906,7.22981,1000
71,-7.39787,6.34789,7.22859,1000
72,-7.39789,6.34667,7.22737,1000
73,-7.39792,6.34546,7.22617,1000
74,-7.39783,6.34426,7.22496,1000
75,-7.39766,6.34306,7.22373,1000
76,-7.39746,6.34184,7.22249,1000
77,-7.39729,6.34061,7.22124,1000
78,-7.39717,6.33936,7.21998,1000
79,-7.3971,6.3381,7.21871,1000
80,-7.39707,6.33685,7.21745,1000
81,-7.39706,6.33559,7.21619,1000
82,-7.39707,6.33434,7.21494,1000
83,-7.39708,6.3331,7.2137,1000
84,-7.39711,6.33186,7.21247,1000
85,-7.39714,6.33064,7.21125,1000
86,-7.39717,6.32942,7.21004,1000
87,-7.3972,6.32822,7.20884,1000
88,-7.39724,6.32702,7.20765,1000
89,-7.39728,6.32584,7.20647,1000
90,-7.39732,6.32467,7.2053,1000
91,-7.39737,6.3235,7.20414,1000
92,-7.39741,6.32235,7.203,1000
93,-7.39745,6.32121,7.20186,1000
94,-7.39749,6.32008,7.20074,1000
95,-7.39754,6.31896,7.19962,1000
96,-7.39758,6.31786,7.19852,1000
97,-7.39762,6.31676,7.19743,1000
98,-7.39766,6.31567,7.19635,1000
99,-7.3977,6.3146,7.19527,1000
100,-7.39774,6.31353,7.19421,1000
101,-7.39777,6.31247,7.19316,1000
102,-7.39781,6.31143,7.19212,1000
103,-7.39785,6.31039,7.19109,1000
104,-7.39788,6.30937,7.19007,1000
105,-7.39792,6.30835,7.18905,1000
106,-7.39795,6.30734,7.18805,1000
107,-7.39798,6.30634,7.18705,1000
108,-7.39801,6.30535,7.18607,1000
109,-7.39804,6.30437,7.18509,1000
110,-7.39807,6.3034,7.18412,1000
111,-7.3981,6.30243,7.18316,1000
112,-7.39813,6.30148,7.18221,1000
113,-7.39816,6.30053,7.18127,1000
114,-7.39818,6.29959,7.18033,1000
115,-7.39821,6.29866,7.1794,1000
116,-7.39823,6.29774,7.17848,1000
117,-7.39826,6.29682,7.17757,1000
118,-7.39828,6.29592,7.17666,1000
119,-7.3983,6.29502,7.17577,1000
120,-7.39833,6.29412,7.17488,1000
121,-7.39835,6.29324,7.17399,1000
122,-7.39837,6.29236,7.17312,1000
123,-7.39839,6.29149,7.17225,1000
124,-7.39841,6.29062,7.17138,1000
125,-7.39844,6.28976,7.17053,1000
126,-7.38745,6.28891,7.16837,1000
127,-7.37087,6.28677,7.16425,1000
128,-7.36361,6.28267,7.15929,1000
129,-7.36516,6.27773,7.15453,1000
130,-7.3707,6.273,7.15046,1000
131,-7.37636,6.26895,7.14709,1000
132,-7.38036,6.26559,7.14421,1000
133,-7.38254,6.26273,7.1416,1000
134,-7.38344,6.26013,7.13912,1000
135,-7.38368,6.25766,7.13667,1000
136,-7.38372,6.25523,7.13424,1000
137,-7.38375,6.25282,7.13183,1000
