ghe.qn,ghe.ghe_Tin,ghe.q_time[n],ghe.ghe_load[n],ghe.q_lntts[n],ghe.g_data[n],ghe.ghe_Tout[n],ghe.ghe_Tf[n],ghe.c1
0,6.94788e-310,3600,0,-12.6399,-0.633434,10,10,0
-2.90912,6.94788e-310,7200,-2.90912,-11.9468,0.0076023,9.45081,9.27765,0
-4.53535,6.94788e-310,10800,-4.53535,-11.5413,0.363084,9.09781,8.82785,-0.022116
-5.42302,6.94788e-310,14400,-5.42302,-11.2536,0.599009,8.85217,8.52937,-1.06862
-5.9266,6.94788e-310,18000,-5.9266,-11.0305,0.771019,8.66766,8.31489,-2.3398
-6.23967,6.94788e-310,21600,-6.23967,-10.8482,0.905246,8.52133,8.14992,-3.54324
-6.45552,6.94788e-310,25200,-6.45552,-10.694,1.01417,8.40141,8.01715,-4.60427
-6.61638,6.94788e-310,28800,-6.61638,-10.5605,1.10523,8.30123,7.9074,-5.52385
-6.74144,6.94788e-310,32400,-6.74144,-10.4427,1.18322,8.21644,7.81516,-6.32348
-6.84043,6.94788e-310,36000,-6.84043,-10.3374,1.25138,8.14385,7.73669,-7.02562
-6.91938,6.94788e-310,39600,-6.91938,-10.242,1.31198,8.08103,7.66916,-7.64873
-6.98268,6.94788e-310,43200,-6.98268,-10.155,1.36646,8.02605,7.61042,-8.20699
-7.03386,6.94788e-310,46800,-7.03386,-10.075,1.41553,7.97744,7.55876,-8.71085
-7.07592,6.94788e-310,50400,-7.07592,-10.0009,1.46073,7.93409,7.5129,-9.16724
-7.11072,6.94788e-310,54000,-7.11072,-9.93189,1.50199,7.89509,7.47183,-9.58417
-7.14,6.94788e-310,57600,-7.14,-9.86735,1.54054,7.85977,7.43477,-9.96587
-7.1647,6.94788e-310,61200,-7.1647,-9.80672,1.57608,7.82758,7.40111,-10.3182
-7.18588,6.94788e-310,64800,-7.18588,-9.74957,1.60959,7.79807,7.37034,-10.6438
-7.20406,6.94788e-310,68400,-7.20406,-9.6955,1.64089,7.77087,7.34206,-10.9469
-7.21983,6.94788e-310,72000,-7.21983,-9.6442,1.67044,7.74568,7.31593,-11.2296
-7.23358,6.94788e-310,75600,-7.23358,-9.59541,1.69852,7.72227,7.2917,-11.4943
-7.24557,6.94788e-310,79200,-7.24557,-9.54889,1.72489,7.70039,7.26911,-11.7435
-7.25622,6.94788e-310,82800,-7.25622,-9.50444,1.75009,7.6799,7.24798,-11.9779
-7.26567,6.94788e-310,86400,-7.26567,-9.46188,1.77422,7.66063,7.22815,-12.1995
-7.27402,6.94788e-310,90000,-7.27402,-9.42106,1.79705,7.64246,7.20948,-12.4099
-7.28154,6.94788e-310,93600,-7.28154,-9.38184,1.81897,7.62527,7.19185,-12.6094
-7.28833,6.94788e-310,97200,-7.28833,-9.3441,1.84006,7.60898,7.17515,-12.7993
-7.29442,6.94788e-310,100800,-7.29442,-9.30773,1.86028,7.5935,7.15931,-12.9806
-7.29991,6.94788e-310,104400,-7.29991,-9.27264,1.87965,7.57875,7.14423,-13.154
-7.30495,6.94788e-310,108000,-7.30495,-9.23874,1.89836,7.56468,7.12986,-13.3197
-7.30954,6.94788e-310,111600,-7.30954,-9.20595,1.91645,7.55122,7.11613,-13.4787
-7.31371,6.94788e-310,115200,-7.31371,-9.1742,1.9339,7.53833,7.10299,-13.6315
-7.31752,6.94788e-310,118800,-7.31752,-9.14343,1.9507,7.52596,7.09039,-13.7786
-7.32107,6.94788e-310,122400,-7.32107,-9.11358,1.96699,7.51407,7.07829,-13.9201
-7.32435,6.94788e-310,126000,-7.32435,-9.08459,1.98281,7.50263,7.06666,-14.0565
-7.32737,6.94788e-310,129600,-7.32737,-9.05642,1.99818,7.49162,7.05546,-14.1883
-7.33013,6.94788e-310,133200,-7.33013,-9.02902,2.01303,7.48098,7.04467,-14.3158
-7.33271,6.94788e-310,136800,-7.33271,-9.00235,2.02744,7.47071,7.03424,-14.4391
-7.33514,6.94788e-310,140400,-7.33514,-8.97638,2.04147,7.46078,7.02417,-14.5584
-7.33741,6.94788e-310,144000,-7.33741,-8.95106,2.05515,7.45118,7.01442,-14.6741
-7.33951,6.94788e-310,147600,-7.33951,-8.92637,2.0685,7.44187,7.00499,-14.7864
-7.34145,6.94788e-310,151200,-7.34145,-8.90227,2.08147,7.43284,6.99584,-14.8956
-7.34326,6.94788e-310,154800,-7.34326,-8.87874,2.09408,7.42407,6.98697,-15.0018
-7.345,6.94788e-310,158400,-7.345,-8.85575,2.10639,7.41555,6.97835,-15.1048
-7.34664,6.94788e-310,162000,-7.34664,-8.83327,2.11842,7.40727,6.96997,-15.2051
-7.34819,6.94788e-310,165600,-7.34819,-8.8113,2.1302,7.39922,6.96183,-15.3029
-7.34962,6.94788e-310,169200,-7.34962,-8.78979,2.14171,7.39138,6.95391,-15.3982
-7.35096,6.94788e-310,172800,-7.35096,-8.76874,2.15297,7.38374,6.94619,-15.4912
-7.35221,6.94788e-310,176400,-7.35221,-8.74812,2.16392,7.37629,6.93866,-15.5821
-7.35343,6.94788e-310,180000,-7.35343,-8.72791,2.17466,7.36902,6.93132,-15.6706
-7.3546,6.94788e-310,183600,-7.3546,-8.70811,2.18518,7.36193,6.92416,-15.757
-7.35571,6.94788e-310,187200,-7.35571,-8.68869,2.1955,7.35501,6.91717,-15.8415
-7.35675,6.94788e-310,190800,-7.35675,-8.66965,2.20562,7.34825,6.91034,-15.9242
-7.35772,6.94788e-310,194400,-7.35772,-8.65095,2.21555,7.34163,6.90367,-16.0052
-7.35863,6.94788e-310,198000,-7.35863,-8.6326,2.22529,7.33516,6.89715,-16.0844
-7.35949,6.94788e-310,201600,-7.35949,-8.61459,2.2348,7.32883,6.89076,-16.1621
-7.36034,6.94788e-310,205200,-7.36034,-8.59689,2.24414,7.32262,6.88451,-16.2381
-7.36117,6.94788e-310,208800,-7.36117,-8.57949,2.25332,7.31655,6.87839,-16.3124
-7.36195,6.94788e-310,212400,-7.36195,-8.5624,2.26234,7.31061,6.8724,-16.3854
-7.36269,6.94788e-310,216000,-7.36269,-8.54559,2.27121,7.30478,6.86652,-16.457
-7.36339,6.94788e-310,219600,-7.36339,-8.52906,2.27993,7.29906,6.86077,-16.5272
-7.36404,6.94788e-310,223200,-7.36404,-8.5128,2.28851,7.29346,6.85512,-16.5962
-7.36466,6.94788e-310,226800,-7.36466,-8.4968,2.29746,7.28795,6.84958,-16.664
-7.36501,6.94788e-310,230400,-7.36501,-8.48105,2.3083,7.28252,6.84412,-16.7321
-7.36422,6.94788e-310,234000,-7.36422,-8.46555,2.31896,7.27701,6.83867,-16.8058
-7.36275,6.94788e-310,237600,-7.36275,-8.45028,2.32946,7.27137,6.83311,-16.8818
-7.36126,6.94788e-310,241200,-7.36126,-8.43524,2.3398,7.26557,6.8274,-16.9582
-7.36016,6.94788e-310,244800,-7.36016,-8.42043,2.34999,7.25967,6.82157,-17.0341
-7.35954,6.94788e-310,248400,-7.35954,-8.40583,2.36003,7.25373,6.81566,-17.109
-7.35932,6.94788e-310,252000,-7.35932,-8.39144,2.36993,7.2478,6.80974,-17.1832
-7.35936,6.94788e-310,255600,-7.35936,-8.37726,2.37968,7.24189,6.80384,-17.2567
-7.35953,6.94788e-310,259200,-7.35953,-8.36327,2.3893,7.23604,6.79798,-17.3295
-7.35976,6.94788e-310,262800,-7.35976,-8.34948,2.39879,7.23025,6.79217,-17.4016
-7.36001,6.94788e-310,266400,-7.36001,-8.33587,2.40815,7.22452,6.78642,-17.473
-7.36027,6.94788e-310,270000,-7.36027,-8.32245,2.41738,7.21884,6.78073,-17.5436
-7.36054,6.94788e-310,273600,-7.36054,-8.3092,2.42649,7.21323,6.77511,-17.6135
-7.36081,6.94788e-310,277200,-7.36081,-8.29613,2.43548,7.20768,6.76954,-17.6826
-7.3611,6.94788e-310,280800,-7.3611,-8.28323,2.44436,7.2022,6.76404,-17.7508
-7.36139,6.94788e-310,284400,-7.36139,-8.27049,2.45312,7.19677,6.75859,-17.8183
-7.36168,6.94788e-310,288000,-7.36168,-8.25791,2.46177,7.19141,6.75321,-17.885
-7.36198,6.94788e-310,291600,-7.36198,-8.24549,2.47031,7.18611,6.7479,-17.9508
-7.36227,6.94788e-310,295200,-7.36227,-8.23322,2.47875,7.18088,6.74264,-18.0159
-7.36256,6.94788e-310,298800,-7.36256,-8.2211,2.48709,7.1757,6.73745,-18.0803
-7.36285,6.94788e-310,302400,-7.36285,-8.20912,2.49532,7.17059,6.73232,-18.1439
-7.36313,6.94788e-310,306000,-7.36313,-8.19729,2.50346,7.16553,6.72725,-18.2067
-7.36341,6.94788e-310,309600,-7.36341,-8.18559,2.51151,7.16054,6.72224,-18.2688
-7.36368,6.94788e-310,313200,-7.36368,-8.17403,2.51946,7.1556,6.71729,-18.3302
-7.36394,6.94788e-310,316800,-7.36394,-8.1626,2.52732,7.15072,6.71239,-18.391
-7.3642,6.94788e-310,320400,-7.3642,-8.1513,2.53509,7.1459,6.70755,-18.451
-7.36445,6.94788e-310,324000,-7.36445,-8.14013,2.54278,7.14113,6.70277,-18.5103
-7.3647,6.94788e-310,327600,-7.3647,-8.12908,2.55038,7.13642,6.69804,-18.569
-7.36494,6.94788e-310,331200,-7.36494,-8.11815,2.55789,7.13176,6.69337,-18.627
-7.36517,6.94788e-310,334800,-7.36517,-8.10734,2.56533,7.12715,6.68874,-18.6844
-7.3654,6.94788e-310,338400,-7.3654,-8.09664,2.57268,7.12259,6.68417,-18.7411
-7.36562,6.94788e-310,342000,-7.36562,-8.08606,2.57996,7.11808,6.67965,-18.7973
-7.36584,6.94788e-310,345600,-7.36584,-8.07559,2.58716,7.11362,6.67518,-18.8528
-7.36605,6.94788e-310,349200,-7.36605,-8.06523,2.59429,7.10921,6.67075,-18.9078
-7.36625,6.94788e-310,352800,-7.36625,-8.05497,2.60135,7.10484,6.66638,-18.9622
-7.36645,6.94788e-310,356400,-7.36645,-8.04482,2.60833,7.10053,6.66205,-19.016
-7.36664,6.94788e-310,360000,-7.36664,-8.03477,2.61524,7.09625,6.65776,-19.0692
-7.36683,6.94788e-310,363600,-7.36683,-8.02482,2.62208,7.09202,6.65352,-19.1219
-7.36701,6.94788e-310,367200,-7.36701,-8.01496,2.62886,7.08784,6.64933,-19.1741
-7.36719,6.94788e-310,370800,-7.36719,-8.00521,2.63557,7.0837,6.64517,-19.2258
-7.36736,6.94788e-310,374400,-7.36736,-7.99555,2.64222,7.0796,6.64106,-19.2769
-7.36752,6.94788e-310,378000,-7.36752,-7.98598,2.6488,7.07554,6.63699,-19.3275
-7.36769,6.94788e-310,381600,-7.36769,-7.9765,2.65532,7.07152,6.63296,-19.3777
-7.36784,6.94788e-310,385200,-7.36784,-7.96711,2.66177,7.06754,6.62898,-19.4273
-7.36799,6.94788e-310,388800,-7.36799,-7.95781,2.66817,7.0636,6.62503,-19.4765
-7.36814,6.94788e-310,392400,-7.36814,-7.94859,2.67451,7.05969,6.62111,-19.5252
-7.36829,6.94788e-310,396000,-7.36829,-7.93946,2.68079,7.05583,6.61724,-19.5734
-7.36843,6.94788e-310,399600,-7.36843,-7.93041,2.68702,7.052,6.6134,-19.6212
-7.36856,6.94788e-310,403200,-7.36856,-7.92144,2.69318,7.04821,6.6096,-19.6686
-7.36869,6.94788e-310,406800,-7.36869,-7.91255,2.6993,7.04445,6.60584,-19.7155
-7.36882,6.94788e-310,410400,-7.36882,-7.90374,2.70536,7.04073,6.60211,-19.762
-7.36895,6.94788e-310,414000,-7.36895,-7.89501,2.71136,7.03704,6.59841,-19.808
-7.36907,6.94788e-310,417600,-7.36907,-7.88635,2.71732,7.03338,6.59475,-19.8537
-7.36918,6.94788e-310,421200,-7.36918,-7.87776,2.72322,7.02976,6.59112,-19.8989
-7.3693,6.94788e-310,424800,-7.3693,-7.86925,2.72908,7.02617,6.58752,-19.9438
-7.36941,6.94788e-310,428400,-7.36941,-7.86081,2.73488,7.02261,6.58396,-19.9882
-7.36951,6.94788e-310,432000,-7.36951,-7.85245,2.74064,7.01909,6.58043,-20.0323
-7.36962,6.94788e-310,435600,-7.36962,-7.84415,2.74634,7.01559,6.57692,-20.076
-7.36972,6.94788e-310,439200,-7.36972,-7.83592,2.752,7.01213,6.57345,-20.1193
-7.36982,6.94788e-310,442800,-7.36982,-7.82775,2.75762,7.00869,6.57001,-20.1623
-7.36991,6.94788e-310,446400,-7.36991,-7.81966,2.76319,7.00528,6.5666,-20.2049
-7.37,6.94788e-310,450000,-7.37,-7.81162,2.76871,7.00191,6.56321,-20.2471
-7.37009,6.94788e-310,453600,-7.37009,-7.80366,2.77419,6.99856,6.55986,-20.289
-7.37018,6.94788e-310,457200,-7.37018,-7.79575,2.77881,6.99523,6.55653,-20.3306
-7.37063,6.94788e-310,460800,-7.37063,-7.78791,2.78269,6.99198,6.55325,-20.3694
-7.37164,6.94788e-310,464400,-7.37164,-7.78012,2.78654,6.98887,6.55008,-20.4045
-7.37294,6.94788e-310,468000,-7.37294,-7.7724,2.79036,6.98592,6.54706,-20.4376
-7.37419,6.94788e-310,471600,-7.37419,-7.76474,2.79415,6.98315,6.54421,-20.4697
-7.3752,6.94788e-310,475200,-7.3752,-7.75714,2.79791,6.9805,6.5415,-20.5013
-7.37592,6.94788e-310,478800,-7.37592,-7.74959,2.80165,6.97796,6.53891,-20.5323
-7.37639,6.94788e-310,482400,-7.37639,-7.7421,2.80535,6.97548,6.53641,-20.563
-7.37671,6.94788e-310,486000,-7.37671,-7.73466,2.80903,6.97306,6.53397,-20.5931
-7.37694,6.94788e-310,489600,-7.37694,-7.72728,2.81268,6.97067,6.53157,-20.6228
-7.37713,6.94788e-310,493200,-7.37713,-7.71996,2.81631,6.96832,6.52921,-20.652
-7.37729,6.94788e-310,496800,-7.37729,-7.71268,2.8199,6.966,6.52688,-20.6808
-7.37744,6.94788e-310,500400,-7.37744,-7.70546,2.82348,6.96372,6.52458,-20.7093
-7.37759,6.94788e-310,504000,-7.37759,-7.69829,2.82702,6.96146,6.52231,-20.7374
-7.37772,6.94788e-310,507600,-7.37772,-7.69118,2.83054,6.95922,6.52007,-20.7651
-7.37783,6.94788e-310,511200,-7.37783,-7.68411,2.83404,6.95702,6.51786,-20.7926
-7.37794,6.94788e-310,514800,-7.37794,-7.67709,2.83751,6.95483,6.51567,-20.8198
-7.37803,6.94788e-310,518400,-7.37803,-7.67012,2.84096,6.95267,6.51351,-20.8468
